date,temperature_max,temperature_min,temperature_avg,humidity,wind_speed,air_pressure,precipitation,solar_radiation,zone,population_density,green_cover,built_up_index,latitude,longitude
2018-01-01,21.21,6.25,12.07,34.58,1.37,98.98,0.0,2.7655,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-02,19.78,3.91,10.98,38.48,1.48,99.04,0.0,2.0239,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-03,21.66,4.32,11.02,39.62,1.64,99.09,0.0,2.2222,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-04,22.78,4.14,12.51,33.59,1.29,99.1,0.0,2.4686,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-05,22.5,6.66,13.02,30.96,1.25,99.05,0.0,2.4643,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-06,22.02,4.54,11.71,40.49,1.81,98.97,0.0,2.6338,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-07,21.89,4.35,11.65,41.2,2.21,99.05,0.0,3.4834,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-08,21.9,3.98,11.97,38.28,1.83,99.23,0.0,3.7154,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-09,22.85,4.04,11.94,38.1,1.9,99.43,0.0,3.2537,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-10,24.14,4.85,12.56,32.67,2.59,99.38,0.0,3.755,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-11,25.05,5.02,13.25,29.87,2.54,99.21,0.0,3.9818,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-12,25.39,6.48,15.13,28.98,2.09,99.14,0.0,3.4795,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-13,24.42,8.21,14.88,32.37,1.75,99.15,0.0,3.7097,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-14,24.74,6.49,14.12,31.34,1.62,99.16,0.0,4.0217,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-15,24.11,5.57,13.23,31.28,2.32,99.16,0.0,4.097,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-16,26.17,4.64,14.54,24.56,2.05,98.92,0.0,4.2168,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-17,25.33,4.58,15.02,27.04,1.36,99.07,0.0,3.3209,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-18,27.65,9.54,16.6,26.77,1.48,99.08,0.0,3.6612,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-19,26.04,7.78,15.33,33.84,1.9,99.17,0.0,3.7267,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-20,25.46,6.06,13.98,26.3,2.27,99.05,0.0,4.0394,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-21,24.47,4.71,14.24,24.45,1.47,99.02,0.0,4.2367,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-22,25.29,7.99,15.6,21.64,1.02,98.85,0.0,3.9038,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-23,20.29,8.27,12.97,41.81,1.84,98.7,3.1,1.1729,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-24,20.15,7.17,12.18,70.48,1.54,98.92,0.01,3.0173,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-25,21.93,5.85,12.37,60.18,2.28,98.85,0.04,3.241,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-26,23.69,6.26,12.95,42.25,1.71,98.93,0.0,3.21,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-27,22.88,4.34,12.25,37.45,1.6,98.95,0.0,3.3626,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-28,24.72,4.64,13.32,31.78,1.72,99.03,0.0,3.5227,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-29,25.84,5.8,14.39,30.36,2.19,99.16,0.0,4.0678,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-30,29.11,8.89,17.75,26.93,3.25,99.08,0.0,4.3776,Delhi,12500,0.14,0.81,28.6139,77.209
2018-01-31,26.74,10.78,17.86,29.82,3.63,98.97,0.0,3.7853,Delhi,12500,0.14,0.81,28.6139,77.209
